Date,Total_Vol,Department Stores_Vol,Supermarkets & Hypermarkets_Vol,Mini-Marts & Convenience Stores_Vol,Food & Alcohol_Vol,Motor Vehicles_Vol,Petrol Service Stations_Vol,"Cosmetics, Toiletries & Medical Goods_Vol",Wearing Apparel & Footwear_Vol,Furniture & Household Equipment_Vol,Recreational Goods_Vol,Watches & Jewellery_Vol,Computer & Telecommunications Equipment_Vol,Optical Goods & Books_Vol,Others_Vol,Total (Excluding Motor Vehicles)_Vol,Total YoY % Change_Vol,Total_Price,Department Stores_Price,Supermarkets & Hypermarkets_Price,Mini-Marts & Convenience Stores_Price,Food & Alcohol_Price,Motor Vehicles_Price,Petrol Service Stations_Price,"Cosmetics, Toiletries & Medical Goods_Price",Wearing Apparel & Footwear_Price,Furniture & Household Equipment_Price,Recreational Goods_Price,Watches & Jewellery_Price,Computer & Telecommunications Equipment_Price,Optical Goods & Books_Price,Others_Price,Total (Excluding Motor Vehicles)_Price,Total YoY % Change_Price,Retail Trade_Online_%,Supermarkets & Hypermarkets_Online_%,Computer & Telecommunications Equipment_Online_%,Furniture & Household Equipment_Online_%,Retail Trade (Excluding Motor Vehicles)_Online_%,Inflation Deflator_%,Supermarkets & Hypermarkets_Online_Vol,Supermarkets & Hypermarkets_Online_Price,Computer & Telecommunications Equipment_Online_Vol,Computer & Telecommunications Equipment_Online_Price,Furniture & Household Equipment_Online_Vol,Furniture & Household Equipment_Online_Price,Computer & Telecommunications Equipment_Deflator,Supermarkets & Hypermarkets_Deflator,Furniture & Household Equipment_Deflator,Department Stores_Deflator,Mini-Marts & Convenience Stores_Deflator,Food & Alcohol_Deflator,Motor Vehicles_Deflator,Petrol Service Stations_Deflator,"Cosmetics, Toiletries & Medical Goods_Deflator",Wearing Apparel & Footwear_Deflator,Recreational Goods_Deflator,Watches & Jewellery_Deflator,Optical Goods & Books_Deflator,Others_Deflator
2008-01-01,106.683,91.01,79.38,101.222,125.038,129.842,114.311,61.685,92.782,106.386,95.014,105.136,90.488,123.595,99.709,94.101,0.0,98.022,89.727,65.932,84.262,99.792,115.746,106.105,58.326,94.111,110.836,99.815,82.802,110.427,111.495,93.41,87.106,0.0,0.0,0.0,0.0,0.0,0.0,-8.118444363206889,0.0,0.0,0.0,0.0,0.0,0.0,22.03496596233756,-16.94129503653312,4.182881206173739,-1.4097351939347358,-16.75525083479875,-20.190662038740214,-10.85627146840007,-7.178661721094215,-5.445408121909701,1.432389903213993,5.052939566800685,-21.242961497488956,-9.790040050163839,-6.317383586235959
2008-02-01,104.915,91.792,82.862,104.299,126.643,135.794,114.45,57.954,95.79,108.479,103.038,104.387,88.327,123.392,96.219,91.298,0.0,101.584,90.165,70.095,87.146,102.383,127.216,107.094,55.07,94.598,112.452,106.912,81.896,106.931,111.259,90.316,88.046,0.0,0.0,0.0,0.0,0.0,0.0,-3.174951150931704,0.0,0.0,0.0,0.0,0.0,0.0,21.06264222717855,-15.407545074943874,3.6624600153025044,-1.7724856196618344,-16.44598701809222,-19.156210765695704,-6.316921218905113,-6.427260812581926,-4.976360561824899,-1.2443887670946951,3.7597779460005087,-21.545786352706752,-9.832890300829877,-6.134962949105683
2008-03-01,105.078,93.738,80.31,103.637,125.995,117.776,115.175,56.469,104.935,112.378,101.155,106.314,91.117,130.186,91.274,94.333,0.0,99.213,91.786,68.028,87.352,101.854,111.945,110.291,53.828,103.034,118.219,105.423,90.065,110.252,117.706,84.147,89.76,0.0,0.0,0.0,0.0,0.0,0.0,-5.581567978073442,0.0,0.0,0.0,0.0,0.0,0.0,21.000471920717303,-15.293238700037348,5.19763654807881,-2.0823998805180377,-15.713500004824532,-19.160284138259453,-4.950923787528872,-4.240503581506405,-4.676902371212521,-1.8115976556916102,4.219267460827436,-15.283970126229839,-9.586284239472754,-7.808357253982512
2008-04-01,107.878,92.801,81.736,106.285,119.564,137.678,116.249,59.198,94.883,101.058,98.554,94.523,87.641,119.487,99.734,94.144,0.0,101.266,90.82,69.677,90.63,96.791,129.205,110.831,56.494,92.777,105.443,102.561,75.715,106.209,108.304,92.111,87.04,0.0,0.0,0.0,0.0,0.0,0.0,-6.129145887020515,0.0,0.0,0.0,0.0,0.0,0.0,21.18643100831803,-14.753596946266024,4.3390924023827715,-2.1346752728957807,-14.729265653667035,-19.046703020976206,-6.154214907247335,-4.660685253206475,-4.567721882496034,-2.219575687952524,4.065791342817149,-19.897802651206575,-9.359177148978548,-7.643331261154662
2008-05-01,108.127,98.496,80.793,104.452,118.734,129.727,117.963,59.642,100.61,101.578,107.042,104.88,87.675,121.959,98.608,94.918,0.0,101.747,96.397,69.517,90.415,96.728,124.451,112.044,56.769,98.212,106.352,110.174,83.104,103.812,110.641,93.792,89.097,0.0,0.0,0.0,0.0,0.0,0.0,-5.900468893060928,0.0,0.0,0.0,0.0,0.0,0.0,18.405474764756203,-13.95665466067606,4.699836578786742,-2.1310510071474886,-13.438708689158652,-18.53386561557768,-4.0670022431722135,-5.0176750336969995,-4.8170752154522045,-2.383460888579658,2.925954298312816,-20.762776506483593,-9.280167925286364,-4.8839850722051
2008-06-01,106.905,94.579,81.05,103.988,124.338,125.369,118.814,58.859,97.982,101.641,104.772,103.094,83.315,124.671,96.12,93.554,0.0,100.309,92.744,70.104,89.982,101.281,120.585,114.56,56.025,95.591,107.64,107.804,82.132,96.593,113.361,91.976,88.483,0.0,0.0,0.0,0.0,0.0,0.0,-6.169963986717186,0.0,0.0,0.0,0.0,0.0,0.0,15.937106163355953,-13.50524367674275,5.902145787625068,-1.9401769948931502,-13.468861791745201,-18.543808007206152,-3.8159353588207656,-3.5803861497803235,-4.814896617339748,-2.440244126472213,2.8939029511701575,-20.332900071779147,-9.071877180739707,-4.311277569704542
2008-07-01,105.257,92.058,83.876,104.356,117.154,123.149,121.398,58.512,96.288,100.973,99.073,94.737,91.766,126.269,96.653,94.319,0.0,100.273,89.393,73.214,90.75,96.411,118.653,118.264,55.942,92.647,108.318,102.777,79.513,107.481,114.784,92.082,89.03,0.0,0.0,0.0,0.0,0.0,0.0,-4.735077002004628,0.0,0.0,0.0,0.0,0.0,0.0,17.125079005296072,-12.711621918069538,7.274221821675098,-2.8949140759086722,-13.038062018475216,-17.7057548184441,-3.6508619639623485,-2.5815911300021366,-4.392261416461585,-3.7813642406114845,3.7386573536685175,-16.069750994859444,-9.095660851040243,-4.72928931331672
2008-08-01,99.174,94.028,82.002,108.07,120.108,109.216,123.654,59.423,100.697,98.635,101.221,109.075,109.045,125.402,95.21,95.141,0.0,98.456,91.68,71.734,94.394,99.229,105.892,109.135,56.838,100.564,105.163,104.46,86.671,130.151,114.321,90.768,90.668,0.0,0.0,0.0,0.0,0.0,0.0,-0.7239800754229919,0.0,0.0,0.0,0.0,0.0,0.0,19.355312027144755,-12.521645813516747,6.618340345719065,-2.4971285149104516,-12.654760803183107,-17.383521497319087,-3.04351010840902,-11.741633913985794,-4.350167443582453,-0.1320794065364561,3.1999288685154115,-20.539995415998156,-8.836382194861326,-4.665476315513073
2008-09-01,106.34,94.414,83.131,107.731,115.017,133.713,122.004,59.778,96.83,99.296,98.244,97.792,99.248,124.053,100.612,94.165,0.0,103.15,93.225,73.046,94.348,95.422,129.528,106.813,57.352,94.769,104.99,101.89,76.743,116.843,113.918,97.179,89.297,0.0,0.0,0.0,0.0,0.0,0.0,-2.999811924017304,0.0,0.0,0.0,0.0,0.0,0.0,17.72831694341448,-12.131455173160422,5.734369964550412,-1.2593471307221438,-12.42260816292432,-17.036611979098737,-3.1298377869018013,-12.451231107176818,-4.058349225467561,-2.1284725808117244,3.711168112047547,-21.524255562827232,-8.16989512547056,-3.4121178388263784
2008-10-01,96.643,96.231,83.379,107.26,110.572,99.688,121.55,59.766,90.183,97.274,97.358,100.349,93.348,122.706,94.508,94.221,0.0,95.085,93.835,73.213,95.525,91.912,99.582,103.966,57.459,87.522,103.527,101.54,84.054,109.951,114.835,90.526,88.386,0.0,0.0,0.0,0.0,0.0,0.0,-1.6121188290926458,0.0,0.0,0.0,0.0,0.0,0.0,17.786133607575948,-12.192518499862093,6.428233649279358,-2.489842150658317,-10.940704829386538,-16.875881778388734,-0.10633175507585024,-14.466474701768828,-3.860054211424546,-2.9506669771464655,4.295486760204614,-16.23832823446173,-6.414519257412032,-4.213399923815975
